	time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
0	1996-12-24T23:30:22.410Z	-15.61	-74.466	59.6	5.1	mb				0.92	us	usp0007uyr	2014-11-07T01:01:49.398Z	near the coast of southern Peru	earthquake		8.9		26.0	reviewed	us	us
1	1996-12-24T22:31:14.990Z	-6.246	130.467	137.5	4.6	mb				1.16	us	usp0007uyn	2014-11-07T01:01:49.391Z	Banda Sea	earthquake		12.0		9.0	reviewed	us	us
2	1996-12-24T22:16:26.170Z	34.294	38.712	29.2	5.5	mwc				1.22	us	usp0007uyj	2020-02-06T19:43:11.946Z	Syria	earthquake					reviewed	us	hrv
3	1996-12-24T14:31:32.190Z	-17.1	-179.334	600.0	4.5	mb				0.99	us	usp0007uxy	2014-11-07T01:01:49.324Z	Fiji region	earthquake				6.0	reviewed	us	us
4	1996-12-24T14:08:12.070Z	24.849	126.46	33.0	4.7	mb				1.25	us	usp0007uxx	2014-11-07T01:01:49.317Z	Ryukyu Islands, Japan	earthquake				10.0	reviewed	us	us
5	1996-12-24T13:41:57.450Z	-5.412	147.004	200.0	4.9	mb				1.13	us	usp0007uxv	2014-11-07T01:01:49.313Z	eastern New Guinea region, Papua New Guinea	earthquake				6.0	reviewed	us	us
6	1996-12-24T13:33:59.980Z	-17.242	-175.238	294.7	4.7	mb				0.99	us	usp0007uxu	2014-11-07T01:01:49.305Z	Tonga	earthquake				18.0	reviewed	us	us
7	1996-12-24T06:43:28.810Z	34.259	-36.99	10.0	4.6	mb				0.82	us	usp0007uxd	2014-11-07T01:01:49.267Z	northern Mid-Atlantic Ridge	earthquake				8.0	reviewed	us	us
8	1996-12-24T06:29:14.170Z	34.27	-36.996	10.0	5.4	mwc				0.93	us	usp0007ux9	2016-11-10T00:17:06.273Z	northern Mid-Atlantic Ridge	earthquake					reviewed	us	hrv
9	1996-12-24T06:28:34.690Z	34.296	-36.986	10.0	4.6	mb				0.8	us	usp0007ux8	2014-11-07T01:01:49.243Z	northern Mid-Atlantic Ridge	earthquake				17.0	reviewed	us	us
10	1996-12-24T04:40:12.570Z	0.358	120.381	100.0	4.6	mb				1.11	us	usp0007ux1	2014-11-07T01:01:49.224Z	Minahasa, Sulawesi, Indonesia	earthquake				13.0	reviewed	us	us
11	1996-12-24T04:38:25.960Z	52.719	152.574	550.0	4.8	mb				0.79	us	usp0007ux0	2014-11-07T01:01:49.221Z	northwest of the Kuril Islands	earthquake				1.0	reviewed	us	us
12	1996-12-24T04:18:49.410Z	-5.713	148.024	102.0	4.6	mb				1.4	us	usp0007uwy	2014-11-07T01:01:49.215Z	New Britain region, Papua New Guinea	earthquake		8.6		6.0	reviewed	us	us
13	1996-12-23T23:21:04.290Z	10.425	56.91	10.0	4.8	mb				0.83	us	usp0007uwk	2014-11-07T01:01:49.091Z	Carlsberg Ridge	earthquake				24.0	reviewed	us	us
14	1996-12-23T19:55:34.620Z	28.2	143.48	33.0	4.6	mb				1.47	us	usp0007uwb	2014-11-07T01:01:49.065Z	Bonin Islands, Japan region	earthquake				3.0	reviewed	us	us
15	1996-12-23T18:31:46.050Z	-4.954	151.141	201.1	5.4	mwc				0.78	us	usp0007uw8	2016-11-10T00:16:42.836Z	New Britain region, Papua New Guinea	earthquake					reviewed	us	hrv
16	1996-12-23T15:47:31.290Z	34.19	-37.241	10.0	4.6	mb				1.0	us	usp0007uvz	2014-11-07T01:01:49.024Z	northern Mid-Atlantic Ridge	earthquake				9.0	reviewed	us	us
17	1996-12-23T10:20:32.710Z	34.355	-37.272	10.0	5.0	mb				1.03	us	usp0007uvm	2014-11-07T01:01:48.984Z	northern Mid-Atlantic Ridge	earthquake				38.0	reviewed	us	us
18	1996-12-23T08:53:12.470Z	27.517	33.885	10.0	4.5	ml				0.86	us	usp0007uvf	2014-11-07T01:01:48.976Z	Egypt	earthquake					reviewed	us	jer
19	1996-12-23T05:51:26.240Z	34.307	-37.282	10.0	5.4	mwc				1.12	us	usp0007uvb	2016-11-10T00:16:42.340Z	northern Mid-Atlantic Ridge	earthquake					reviewed	us	hrv
20	1996-12-23T03:52:20.320Z	17.05	-85.007	27.1	4.5	mb				0.94	us	usp0007uv6	2014-11-07T01:01:48.929Z	north of Honduras	earthquake				15.0	reviewed	us	us
21	1996-12-23T03:30:18.970Z	-16.787	-177.7	33.0	4.7	mb				1.07	us	usp0007uv5	2014-11-07T01:01:48.928Z	Fiji region	earthquake				4.0	reviewed	us	us
22	1996-12-23T00:28:44.910Z	-22.682	-175.32	10.0	5.8	mwc				1.06	us	usp0007uuz	2016-11-10T00:16:41.871Z	Tonga region	earthquake					reviewed	us	hrv
23	1996-12-22T22:16:41.620Z	45.86	150.497	98.1	5.0	mb				0.82	us	usp0007uuw	2014-11-07T01:01:48.892Z	Kuril Islands	earthquake		13.0		63.0	reviewed	us	us
24	1996-12-22T20:45:56.110Z	31.249	70.184	33.0	4.8	mb				1.1	us	usp0007uus	2014-11-07T01:01:48.878Z	Pakistan	earthquake				31.0	reviewed	us	us
25	1996-12-22T19:21:44.890Z	-39.844	175.721	78.5	4.7	mb				0.95	us	usp0007uuq	2014-11-07T01:01:48.874Z	North Island of New Zealand	earthquake				5.0	reviewed	us	us
26	1996-12-22T14:53:27.620Z	43.207	138.92	226.5	6.5	mwc				0.89	us	usp0007uuh	2020-01-03T21:38:05.517Z	eastern Sea of Japan	earthquake					reviewed	us	hrv
27	1996-12-22T02:43:56.100Z	-3.933	126.172	50.0	4.9	mb				1.06	us	usp0007ute	2014-11-07T01:01:48.745Z	Buru, Indonesia	earthquake				16.0	reviewed	us	us
28	1996-12-22T00:42:41.300Z	-32.947	-179.214	33.0	4.7	mb				0.57	us	usp0007ut8	2014-11-07T01:01:48.731Z	south of the Kermadec Islands	earthquake				4.0	reviewed	us	us
29	1996-12-21T23:39:32.000Z	-22.601	-175.303	100.0	4.7	mb				1.19	us	usp0007ut5	2014-11-07T01:01:48.724Z	Tonga region	earthquake				6.0	reviewed	us	us
30	1996-12-21T19:14:20.880Z	4.032	126.46	33.0	5.2	mwc				1.05	us	usp0007usv	2016-11-10T00:15:49.520Z	Kepulauan Talaud, Indonesia	earthquake					reviewed	us	hrv
31	1996-12-21T17:51:06.380Z	20.337	100.469	33.0	4.7	mb				1.42	us	usp0007usu	2014-11-07T01:01:48.700Z	Laos	earthquake				9.0	reviewed	us	us
32	1996-12-21T16:36:03.930Z	9.795	126.156	200.0	4.5	mb				1.16	us	usp0007usr	2014-11-07T01:01:48.693Z	Mindanao, Philippines	earthquake				1.0	reviewed	us	us
33	1996-12-21T16:27:18.850Z	-15.923	-173.537	33.0	4.5	mb				1.0	us	usp0007usq	2014-11-07T01:01:48.689Z	Tonga	earthquake				2.0	reviewed	us	us
34	1996-12-21T14:22:27.280Z	36.364	70.559	174.4	4.7	mb				0.69	us	usp0007usj	2014-11-07T01:01:48.671Z	Hindu Kush region, Afghanistan	earthquake				45.0	reviewed	us	us
35	1996-12-21T13:52:18.780Z	-5.6	151.656	33.0	4.6	mb				0.42	us	usp0007usg	2014-11-07T01:01:48.669Z	New Britain region, Papua New Guinea	earthquake				1.0	reviewed	us	us
36	1996-12-21T12:45:48.710Z	1.857	127.554	150.0	4.7	mb				0.84	us	usp0007use	2014-11-07T01:01:48.664Z	Halmahera, Indonesia	earthquake				2.0	reviewed	us	us
37	1996-12-21T11:15:24.010Z	11.417	-86.722	33.0	5.4	mwc				1.3	us	usp0007us9	2016-11-10T00:15:49.034Z	near the coast of Nicaragua	earthquake					reviewed	us	hrv
38	1996-12-21T08:46:01.040Z	40.039	13.023	487.6	4.9	mb				1.09	us	usp0007us4	2014-11-07T01:01:48.545Z	Tyrrhenian Sea	earthquake				27.0	reviewed	us	us
39	1996-12-21T08:39:39.780Z	30.704	99.637	10.0	5.4	mwc				1.42	us	usp0007us3	2016-11-10T00:15:48.530Z	western Sichuan, China	earthquake					reviewed	us	hrv
40	1996-12-21T08:34:03.720Z	-5.215	35.545	10.0	4.8	mb				1.19	us	usp0007us2	2014-11-07T01:01:48.531Z	Tanzania	earthquake				7.0	reviewed	us	us
41	1996-12-21T05:14:44.550Z	-10.541	113.526	33.0	4.5	mb				0.84	us	usp0007uru	2014-11-07T01:01:48.513Z	south of Java, Indonesia	earthquake				2.0	reviewed	us	us
42	1996-12-21T01:28:45.270Z	36.025	139.767	44.8	5.5	mwc				0.89	us	usp0007urn	2020-02-06T19:42:59.536Z	eastern Honshu, Japan	earthquake					reviewed	us	hrv
43	1996-12-20T22:34:50.950Z	-4.08	141.264	100.0	4.7	mb				0.81	us	usp0007urf	2014-11-07T01:01:48.465Z	New Guinea, Papua New Guinea	earthquake				5.0	reviewed	us	us
44	1996-12-20T19:24:12.900Z	-16.028	-172.987	33.0	4.7	mb				0.98	us	usp0007urb	2014-11-07T01:01:48.457Z	Samoa Islands region	earthquake				7.0	reviewed	us	us
